frame,scale,p1,p2,p3,p4,hooks,gens,机器标注
frame_00_00.0.jpg,1.50,unknown,unknown,unknown,unknown,0/0/0/0,None,p1未知; p2未知; p3未知; p4未知; gens未识别
frame_00_10.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/1/0,5,正常
frame_00_20.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/1/0,5,正常
frame_00_30.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/1/0,5,正常
frame_00_40.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_50.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/1,5,正常
frame_01_00.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_01_10.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_01_20.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_01_30.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_01_40.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,4,正常
frame_01_50.0.jpg,1.50,healthy,healthy,healthy,healthy,0/1/0/0,0,正常
frame_02_00.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,0,正常
frame_02_10.0.jpg,1.50,unknown,unknown,unknown,unknown,0/0/0/0,None,p1未知; p2未知; p3未知; p4未知; gens未识别
frame_02_20.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/1,2,正常
frame_02_30.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,2,正常
frame_02_40.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,2,正常
frame_02_50.0.jpg,1.50,healthy,healthy,healthy,healthy,0/2/0/0,2,正常
frame_03_00.0.jpg,1.50,unknown,unknown,unknown,unknown,0/0/0/0,None,p1未知; p2未知; p3未知; p4未知; gens未识别
frame_03_10.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,2,正常
frame_03_20.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,2,正常
frame_03_30.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,2,正常
frame_03_40.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,1,正常
frame_03_50.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,1,正常
frame_04_00.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,0,正常
frame_04_10.0.jpg,1.50,healthy,healthy,healthy,injured,0/0/0/0,0,正常
frame_04_20.0.jpg,1.50,healthy,healthy,healthy,injured,0/0/0/0,0,正常
frame_04_30.0.jpg,1.50,injured,healthy,healthy,injured,0/0/0/0,0,正常
frame_04_40.0.jpg,1.50,healthy,healthy,healthy,injured,0/0/0/0,0,正常
frame_04_50.0.jpg,1.50,injured,escaped,unknown,escaped,0/0/0/0,0,p3未知
