frame,scale,p1,p2,p3,p4,hooks,gens,机器标注
frame_00_00.0.jpg,1.30,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_10.0.jpg,1.30,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_20.0.jpg,1.30,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_30.0.jpg,1.30,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_40.0.jpg,1.30,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_50.0.jpg,1.30,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_01_00.0.jpg,1.30,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_01_10.0.jpg,1.30,healthy,injured,healthy,healthy,0/0/0/0,5,正常
frame_01_20.0.jpg,1.30,injured,healthy,healthy,healthy,0/0/0/0,5,正常
frame_01_30.0.jpg,1.30,injured,healthy,healthy,healthy,0/0/0/0,4,正常
frame_01_40.0.jpg,1.30,injured,healthy,healthy,healthy,0/0/0/0,4,正常
frame_01_50.0.jpg,1.30,injured,healthy,healthy,healthy,0/0/0/0,4,正常
frame_02_00.0.jpg,1.30,healthy,healthy,healthy,healthy,0/0/0/0,4,正常
frame_02_10.0.jpg,1.30,hooked,healthy,healthy,healthy,1/0/0/0,4,正常
frame_02_20.0.jpg,1.30,hooked,healthy,healthy,healthy,1/0/0/0,4,正常
frame_02_30.0.jpg,1.30,hooked,injured,healthy,healthy,1/0/0/0,4,正常
frame_02_40.0.jpg,1.30,hooked,injured,healthy,healthy,1/0/0/0,4,正常
frame_02_50.0.jpg,1.30,injured,dying,healthy,healthy,1/0/0/0,4,正常
frame_03_00.0.jpg,1.30,injured,healthy,healthy,healthy,1/0/0/0,4,正常
frame_03_10.0.jpg,1.30,healthy,hooked,healthy,healthy,1/1/0/0,4,正常
frame_03_20.0.jpg,1.30,healthy,hooked,healthy,healthy,1/1/0/0,4,正常
frame_03_30.0.jpg,1.30,healthy,hooked,healthy,healthy,1/1/0/0,3,正常
frame_03_40.0.jpg,1.30,healthy,hooked,healthy,healthy,1/1/0/0,3,正常
frame_03_50.0.jpg,1.30,healthy,hooked,healthy,unknown,1/1/0/0,3,p4未知
frame_04_00.0.jpg,1.30,healthy,injured,healthy,hooked,1/1/0/1,3,正常
frame_04_10.0.jpg,1.30,healthy,injured,healthy,hooked,1/1/1/1,3,正常
frame_04_20.0.jpg,1.30,healthy,injured,healthy,injured,1/1/0/1,3,正常
frame_04_30.0.jpg,1.30,healthy,injured,healthy,healthy,1/1/0/1,3,正常
frame_04_40.0.jpg,1.30,healthy,injured,healthy,healthy,1/1/0/1,3,正常
frame_04_50.0.jpg,1.30,healthy,injured,healthy,healthy,1/1/0/1,3,正常
frame_05_00.0.jpg,1.30,healthy,dying,healthy,healthy,1/1/0/1,3,正常
frame_05_10.0.jpg,1.30,healthy,injured,healthy,healthy,1/1/0/1,3,正常
frame_05_20.0.jpg,1.30,injured,unknown,healthy,healthy,1/1/0/1,3,p2未知
frame_05_30.0.jpg,1.30,healthy,hooked,healthy,healthy,1/2/0/1,3,正常
frame_05_40.0.jpg,1.30,healthy,hooked,injured,healthy,1/2/0/1,2,正常
frame_05_50.0.jpg,1.30,healthy,hooked,injured,healthy,1/2/0/1,2,正常
frame_06_00.0.jpg,1.30,healthy,injured,injured,healthy,1/2/0/1,2,正常
frame_06_10.0.jpg,1.30,healthy,healthy,hooked,healthy,1/2/1/1,2,正常
frame_06_20.0.jpg,1.30,healthy,injured,hooked,healthy,1/2/1/1,2,正常
frame_06_30.0.jpg,1.30,healthy,healthy,hooked,healthy,1/2/1/1,2,正常
frame_06_40.0.jpg,1.30,healthy,healthy,injured,injured,1/2/1/1,2,正常
frame_06_50.0.jpg,1.30,injured,healthy,injured,injured,1/2/1/1,2,正常
frame_07_00.0.jpg,1.30,healthy,healthy,injured,injured,1/2/1/1,2,正常
frame_07_10.0.jpg,1.30,healthy,healthy,healthy,injured,1/2/1/1,2,正常
frame_07_20.0.jpg,1.30,healthy,healthy,healthy,injured,1/2/1/1,2,正常
frame_07_30.0.jpg,1.30,healthy,healthy,healthy,injured,1/2/1/1,2,正常
frame_07_40.0.jpg,1.30,healthy,injured,healthy,injured,1/2/1/1,2,正常
frame_07_50.0.jpg,1.30,healthy,dying,healthy,healthy,1/2/1/1,2,正常
frame_08_00.0.jpg,1.30,healthy,injured,healthy,healthy,1/2/1/1,2,正常
frame_08_10.0.jpg,1.30,healthy,hooked,healthy,healthy,1/2/1/1,2,正常
frame_08_20.0.jpg,1.30,healthy,dead,healthy,healthy,1/2/1/1,2,正常
frame_08_30.0.jpg,1.30,healthy,dead,healthy,healthy,1/2/1/1,2,正常
frame_08_40.0.jpg,1.30,healthy,dead,healthy,healthy,1/2/1/1,2,正常
frame_08_50.0.jpg,1.30,healthy,dead,injured,healthy,1/2/1/1,2,正常
frame_09_00.0.jpg,1.30,healthy,dead,healthy,healthy,1/2/1/1,2,正常
frame_09_10.0.jpg,1.30,healthy,dead,healthy,healthy,1/2/1/1,1,正常
frame_09_20.0.jpg,1.30,healthy,dead,injured,healthy,1/2/1/1,1,正常
frame_09_30.0.jpg,1.30,healthy,dead,dying,healthy,1/2/1/1,1,正常
frame_09_40.0.jpg,1.30,healthy,dead,dying,dying,1/2/1/1,0,正常
frame_09_50.0.jpg,1.30,injured,dead,dying,dying,1/2/1/1,0,正常
frame_10_00.0.jpg,1.30,injured,dead,dying,dying,1/2/1/1,0,正常
frame_10_10.0.jpg,1.30,injured,dead,dying,dying,1/2/1/1,0,正常
frame_10_20.0.jpg,1.30,injured,dead,dying,dying,1/2/1/1,0,正常
frame_10_30.0.jpg,1.30,injured,dead,dying,dying,1/2/1/1,0,正常
frame_10_40.0.jpg,1.30,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_10_50.0.jpg,1.30,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_11_00.0.jpg,1.30,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_11_10.0.jpg,1.30,injured,healthy,healthy,healthy,0/0/0/0,5,正常
frame_11_20.0.jpg,1.30,injured,healthy,healthy,healthy,0/0/0/0,5,正常
