frame,scale,p1,p2,p3,p4,hooks,gens,机器标注
frame_00_27.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_27.5.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_28.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_28.5.jpg,1.50,injured,unknown,healthy,healthy,0/0/0/0,5,p2未知
frame_00_29.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_29.5.jpg,1.50,injured,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_30.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_30.5.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_31.0.jpg,1.60,unknown,unknown,unknown,healthy,0/0/0/0,5,p1未知; p2未知; p3未知
frame_00_31.5.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_32.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_32.5.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_33.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_33.5.jpg,1.50,injured,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_34.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_34.5.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_35.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_35.5.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_36.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_36.5.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_37.0.jpg,1.50,healthy,healthy,healthy,healthy,0/0/0/0,5,正常
frame_00_37.5.jpg,1.50,injured,healthy,healthy,healthy,0/0/0/0,5,正常
